x,y,z,xt,yt,zt
0.205137, -0.124687, -1.087091, , , 
0.788576, -0.193218, -0.966239, , , 
0.962763, -1.187918, -1.818180, , , 
-0.334809, -1.363731, -2.105072, , , 
-0.587415, -0.034334, -1.000982, , , 
0.397168, -0.166369, -0.915125, , , 
0.943712, -0.112574, -1.036687, , , 
0.720051, -0.331620, -0.845857, , , 
-0.232155, -0.356489, -1.307719, , , 
0.938360, -0.112043, -1.027990, , , 
0.603873, -0.122000, -1.075341, , , 
1.347454, -1.383101, -2.224733, , , 
-0.086750, -0.038219, -0.874825, , , 
2.389043, -1.820813, -2.825991, , , 
0.291411, -0.143554, -1.199676, , , 
0.923854, -0.659477, -1.112311, , , 
0.733818, -0.029681, -0.978842, , , 
0.895462, -0.392379, -1.201276, , , 
-1.003240, -1.590288, -2.710368, , , 
1.849670, -2.190041, -2.379678, , , 
-0.274213, -1.126193, -2.406220, , , 
0.794406, -0.196973, -0.975364, , , 
0.930587, -0.110435, -1.011501, , , 
0.284123, -1.462896, -2.230078, , , 
1.930187, -2.280234, -2.509121, , , 
-0.390417, 0.204865, -0.830153, , , 
0.877205, -0.510482, -0.965772, , , 
1.702022, -1.846226, -2.592876, , , 
0.782462, -0.196404, -0.945919, , , 
0.699572, -0.323993, -0.812898, , , 
0.921491, -0.652886, -1.101338, , , 
0.587627, -0.628118, -0.982238, , , 
0.908700, -1.771301, -2.701237, , , 
1.428126, -1.129890, -2.047047, , , 
0.104856, -1.400120, -2.095054, , , 
1.408864, -0.767251, -1.480059, , , 
1.287420, -1.951437, -2.936043, , , 
-0.290113, 0.001413, -0.864386, , , 
-0.626828, -0.080019, -1.088791, , , 
1.411745, -1.800628, -2.543619, , , 
1.368123, -1.921269, -2.559206, , , 
-0.654871, -0.371798, -1.298318, , , 
-0.381883, -0.214096, -1.088107, , , 
-0.420134, 0.070637, -0.941465, , , 
-0.324949, -0.014302, -0.990385, , , 
1.875442, -2.218412, -2.425601, , , 
-0.022392, -1.389478, -2.032763, , , 
-0.638594, -0.134751, -1.114638, , , 
1.632445, -1.495725, -2.365588, , , 
0.847890, -1.628609, -2.436370, , , 
1.250385, -1.546301, -1.730183, , , 
0.571429, 0.066774, -0.873495, , , 
1.401232, -1.694900, -2.226116, , , 
0.113475, -1.429123, -2.173919, , , 
-0.118199, -0.380685, -1.331956, , , 
-0.625783, -0.084257, -1.074725, , , 
0.259097, -1.082571, -1.585098, , , 
1.839304, -2.174759, -2.368022, , , 
0.597496, -0.633613, -1.015294, , , 
1.071560, -0.751284, -1.397849, , , 
-0.340514, -1.402646, -2.174273, , , 
0.018190, -0.048828, -0.833601, , , 
-0.673734, -0.324425, -1.405676, , , 
0.258273, 0.137947, -0.808794, , , 
-0.324410, -0.427878, -1.427806, , , 
1.599738, -1.452207, -2.278782, , , 
-0.339265, -1.378853, -2.133814, , , 
1.233022, -1.861810, -2.785228, , , 
0.244991, 0.104013, -0.841129, , , 
1.444424, -1.839607, -2.617208, , , 
-0.077881, 0.232627, -0.789821, , , 
0.423855, 0.061443, -0.872445, , , 
0.492042, 0.084433, -0.867300, , , 
-0.415474, 0.174824, -0.878389, , , 
-0.245741, -0.227377, -1.116422, , , 
-0.387837, 0.204282, -0.836911, , , 
0.461530, -0.045330, -1.201658, , , 
0.317047, 0.189083, -0.770597, , , 
0.062475, 0.210989, -0.807776, , , 
0.363943, 0.176524, -0.774207, , , 
-0.168208, -0.342561, -1.255496, , , 
-0.155071, 0.097836, -0.754175, , , 
-0.524891, -0.161003, -1.137665, , , 
-0.115045, 0.050453, -0.860519, , , 
-0.257844, -0.265084, -1.140087, , , 
-0.341051, -0.349886, -1.279447, , , 
0.437238, 0.098016, -0.845788, , , 
0.085417, -0.133351, -0.893471, , , 
-0.119399, 0.037088, -0.776083, , , 
-0.329452, -0.117537, -0.928572, , , 
-0.194540, -0.311730, -1.243540, , , 
-0.060759, 0.007476, -0.983017, , , 
-0.009398, 0.014989, -0.832882, , , 
-0.527051, -0.271443, -1.282135, , , 
-0.050934, -0.023424, -0.877792, , , 
-0.303735, -0.025534, -0.877801, , , 
0.275841, -0.157812, -1.371804, , , 
-0.132460, 0.051570, -0.756476, , , 
-0.375871, 0.235165, -0.800011, , , 
0.448508, 0.058588, -0.883858, , , 
-0.261868, 0.065182, -0.757312, , , 
-0.376254, -0.405339, -1.423640, , , 
0.061840, 0.210614, -0.816737, , , 
-0.564264, -0.269552, -1.226007, , , 
0.166965, 0.161385, -0.802697, , , 
0.348157, 0.181587, -0.779002, , , 
-0.138149, 0.176914, -0.825550, , , 
-0.134310, -0.048819, -0.910566, , , 
0.245048, 0.166302, -0.808609, , , 
-0.262667, 0.065997, -0.768363, , , 
-0.154116, 0.074998, -0.721963, , , 
0.277569, 0.200804, -0.775327, , , 
-0.532841, -0.480094, -1.430092, , , 
0.255038, 0.230016, -0.751424, , , 
-0.252663, -0.381605, -1.342304, , , 
0.246249, 0.223493, -0.750620, , , 
-0.277482, 0.072954, -0.811378, , , 
0.302050, 0.089243, -0.836719, , , 
0.493443, 0.085369, -0.872191, , , 
-0.312594, 0.233751, -0.805653, , , 
-0.376684, 0.158342, -0.874275, , , 
0.616951, -0.109450, -1.084964, , , 
-0.102371, -0.125344, -0.971885, , , 
0.346691, 0.186282, -0.790414, , , 
-0.536185, -0.278794, -1.315802, , , 
-0.316855, -0.023504, -0.921076, , , 
0.360681, 0.190750, -0.820418, , , 
0.299018, 0.195786, -0.779033, , , 
0.002595, -0.047282, -0.923360, , , 
0.235703, 0.145070, -0.813471, , , 
0.119698, -0.117327, -1.009766, , , 
0.447833, -0.184972, -1.258544, , , 
0.235603, 0.143736, -0.817318, , , 
-0.088153, -0.556191, -1.540574, , , 
-0.392212, 0.094696, -0.939191, , , 
0.527339, 0.041052, -0.898261, , , 
-0.507284, -0.091041, -1.063978, , , 
-0.599733, -0.077899, -1.059286, , , 
-0.574137, 0.245134, -0.770859, , , 
-0.262537, 0.065935, -0.767165, , , 
0.574540, 0.066856, -0.888082, , , 
-0.305631, -0.045375, -0.895102, , , 
-0.127141, 0.010959, -0.773064, , , 
-0.094257, -0.140498, -1.131952, , , 
0.221294, 0.108885, -0.836957, , , 
0.559861, 0.142595, -0.805193, , , 
0.693166, 0.109425, -0.860633, , , 
-0.091288, -0.151153, -1.030417, , , 
0.576764, -0.161195, -1.016899, , , 
0.756089, 0.062939, -0.936163, , , 
0.779435, 0.040984, -0.913196, , , 
1.462196, -1.115180, -1.893219, , , 
0.277432, -0.645684, -1.055315, , , 
-0.340627, -1.373401, -2.129111, , , 
-1.355583, -1.638244, -2.860358, , , 
-1.232731, -1.516781, -2.583229, , , 
1.239408, -1.284516, -2.010340, , , 
1.444096, -1.099281, -1.867343, , , 
-0.166729, 0.008308, -0.932632, , , 
1.425671, -1.256194, -2.097862, , , 
-0.032392, 0.014304, -0.890072, , , 
0.675370, 0.158154, -0.780994, , , 
-0.362920, 0.180748, -0.855524, , , 
0.741308, -0.263313, -0.883637, , , 
0.836946, -1.581158, -2.359139, , , 
1.482251, -1.316594, -2.219172, , , 
0.944021, 0.015155, -0.995942, , , 
1.295918, -1.213384, -2.022823, , , 
1.414797, -1.812903, -2.554611, , , 
0.639012, 0.051040, -0.879726, , , 
-0.166990, -0.045600, -1.009221, , , 
0.643722, 0.095870, -0.748167, , , 
0.621250, -0.118769, -1.119263, , , 
-0.017442, -0.796373, -1.078994, , , 
0.792763, 0.038376, -0.939562, , , 
0.489870, 0.089038, -0.859207, , , 
0.905459, 0.079982, -0.897490, , , 
0.904699, 0.081092, -0.896319, , , 
1.794316, -1.155032, -1.929373, , , 
0.793879, 0.041095, -0.939718, , , 
1.841947, -1.187866, -1.995556, , , 
1.815898, -1.166076, -1.944072, , , 
0.290002, -0.149277, -1.218496, , , 
1.463851, -1.043632, -1.871390, , , 
1.585167, -1.279242, -2.146966, , , 
0.749640, 0.059762, -0.928661, , , 
0.155470, 0.127376, -0.834089, , , 
0.527785, 0.040840, -0.895563, , , 
-0.060400, 0.062782, -0.894746, , , 
-0.246093, -0.428030, -1.461608, , , 
